COUNTY,CHANGES
"",ADDRESS NAME
ALLEGANY,569 295
ANNE ARUNDEL,7636 14212
BALTIMORE CITY,17567 16437
BALTIMORE CO.,10055 22115
CALVERT,827 1446
CAROLINE,233 258
CARROLL,1516 2831
CECIL,835 1571
CHARLES,1854 3459
DORCHESTER,323 357
FREDERICK,3643 5377
GARRETT,221 192
HARFORD,2654 3418
HOWARD,4721 6694
KENT,191 234
MONTGOMERY,14644 41049
PR. GEORGE'S,11739 28502
QUEEN ANNE'S,524 777
ST. MARY'S,1217 1514
SOMERSET,207 144
TALBOT,481 712
WASHINGTON,1390 1938
WICOMICO,1166 1291
WORCESTER,871 750
TOTAL,"85,084 155,573"
